,age,gender,district,Count
1138,15,0,38,915
1139,15,1,38,1100
1140,1,0,39,9975
1141,1,1,39,9360
1142,2,0,39,2945
1143,2,1,39,2775
1144,3,0,39,3025
1145,3,1,39,2880
1146,4,0,39,3080
1147,4,1,39,2855
1148,5,0,39,3415
1149,5,1,39,3185
1150,6,0,39,3760
1151,6,1,39,3490
1152,7,0,39,3215
1153,7,1,39,2975
1154,8,0,39,3355
1155,8,1,39,3055
1156,9,0,39,4245
1157,9,1,39,4000
1158,10,0,39,4365
1159,10,1,39,4305
1160,11,0,39,4130
1161,11,1,39,3860
1162,12,0,39,3525
1163,12,1,39,3345
1164,13,0,39,2435
1165,13,1,39,2600
1166,14,0,39,1620
1167,14,1,39,1760
1168,15,0,39,1035
1169,15,1,39,1475
1170,1,0,40,6160
1171,1,1,40,6105
1172,2,0,40,2020
1173,2,1,40,1925
1174,3,0,40,3080
1175,3,1,40,3170
1176,4,0,40,3525
1177,4,1,40,3690
1178,5,0,40,3790
1179,5,1,40,3400
1180,6,0,40,3415
1181,6,1,40,3175
1182,7,0,40,2715
1183,7,1,40,2540
1184,8,0,40,2640
1185,8,1,40,2620
1186,9,0,40,3460
1187,9,1,40,3510
1188,10,0,40,3730
1189,10,1,40,3810
1190,11,0,40,3255
1191,11,1,40,3575
1192,12,0,40,2785
1193,12,1,40,3450
1194,13,0,40,2240
1195,13,1,40,2835
1196,14,0,40,1450
1197,14,1,40,2140
1198,15,0,40,915
1199,15,1,40,1805
1200,1,0,41,6930
1201,1,1,41,6565
1202,2,0,41,2245
1203,2,1,41,2115
1204,3,0,41,2295
1205,3,1,41,2215
1206,4,0,41,2390
1207,4,1,41,2215
1208,5,0,41,2575
1209,5,1,41,2355
1210,6,0,41,2935
1211,6,1,41,2730
1212,7,0,41,2490
1213,7,1,41,2375
1214,8,0,41,2745
1215,8,1,41,2690
1216,9,0,41,3605
1217,9,1,41,3640
1218,10,0,41,4305
1219,10,1,41,4295
1220,11,0,41,4195
1221,11,1,41,4125
1222,12,0,41,3685
1223,12,1,41,3640
1224,13,0,41,2980
1225,13,1,41,2945
1226,14,0,41,1720
1227,14,1,41,1950
1228,15,0,41,1105
1229,15,1,41,1580
1230,1,0,42,8880
1231,1,1,42,8510
1232,2,0,42,2785
1233,2,1,42,2730
1234,3,0,42,3235
1235,3,1,42,3205
1236,4,0,42,3095
1237,4,1,42,2995
1238,5,0,42,3445
1239,5,1,42,3150
1240,6,0,42,3710
1241,6,1,42,3585
1242,7,0,42,3245
1243,7,1,42,3200
1244,8,0,42,3340
1245,8,1,42,3255
1246,9,0,42,4320
1247,9,1,42,4365
1248,10,0,42,4575
1249,10,1,42,4940
1250,11,0,42,4390
1251,11,1,42,4585
1252,12,0,42,4025
1253,12,1,42,4205
