,District,Age,Sex,Count
1113,30,6,2,1985
1114,30,7,1,2015
1115,30,7,2,2130
1116,30,8,1,2295
1117,30,8,2,2280
1118,30,9,1,2725
1119,30,9,2,2885
1120,30,10,1,2770
1121,30,10,2,2775
1122,30,11,1,2645
1123,30,11,2,2715
1124,30,12,1,2370
1125,30,12,2,2295
1126,30,13,1,1600
1127,30,13,2,1545
1128,30,14,1,1040
1129,30,14,2,1090
1130,30,15,1,565
1131,30,15,2,750
1132,30,16,1,310
1133,30,16,2,515
1134,30,17,1,125
1135,30,17,2,255
1136,30,18,1,20
1137,30,18,2,85
1138,30,19,1,0
1139,30,19,2,15
1140,31,1,1,6140
1141,31,1,2,5925
1142,31,2,1,2235
1143,31,2,2,2120
1144,31,3,1,2520
1145,31,3,2,2495
1146,31,4,1,2405
1147,31,4,2,2430
1148,31,5,1,2235
1149,31,5,2,2440
1150,31,6,1,2210
1151,31,6,2,2510
1152,31,7,1,2395
1153,31,7,2,2635
1154,31,8,1,2475
1155,31,8,2,2810
1156,31,9,1,3075
1157,31,9,2,3320
1158,31,10,1,2960
1159,31,10,2,3360
1160,31,11,1,2665
1161,31,11,2,2945
1162,31,12,1,2260
1163,31,12,2,2575
1164,31,13,1,1625
1165,31,13,2,1915
1166,31,14,1,1100
1167,31,14,2,1465
1168,31,15,1,815
1169,31,15,2,1160
1170,31,16,1,450
1171,31,16,2,855
1172,31,17,1,175
1173,31,17,2,460
1174,31,18,1,50
1175,31,18,2,140
1176,31,19,1,0
1177,31,19,2,35
1178,32,1,1,5635
1179,32,1,2,5575
1180,32,2,1,2130
1181,32,2,2,1985
1182,32,3,1,1560
1183,32,3,2,1625
1184,32,4,1,1525
1185,32,4,2,1570
1186,32,5,1,1710
1187,32,5,2,1940
1188,32,6,1,1945
1189,32,6,2,2070
1190,32,7,1,2230
1191,32,7,2,2205
1192,32,8,1,2345
1193,32,8,2,2410
1194,32,9,1,2720
1195,32,9,2,2865
1196,32,10,1,2955
1197,32,10,2,3040
1198,32,11,1,2740
1199,32,11,2,2780
1200,32,12,1,2425
1201,32,12,2,2470
1202,32,13,1,1590
1203,32,13,2,1545
1204,32,14,1,1015
1205,32,14,2,1160
1206,32,15,1,630
1207,32,15,2,855
1208,32,16,1,310
1209,32,16,2,530
1210,32,17,1,135
1211,32,17,2,290
1212,32,18,1,35
1213,32,18,2,90
1214,32,19,1,5
1215,32,19,2,10
1216,33,1,1,10240
1217,33,1,2,9610
1218,33,2,1,3110
1219,33,2,2,2895
1220,33,3,1,3130
1221,33,3,2,3035
1222,33,4,1,3085
1223,33,4,2,2950
1224,33,5,1,2870
1225,33,5,2,2735
1226,33,6,1,2805
1227,33,6,2,2710
1228,33,7,1,2680
1229,33,7,2,2600
1230,33,8,1,2650
1231,33,8,2,2565
1232,33,9,1,3245
1233,33,9,2,3110
1234,33,10,1,3215
1235,33,10,2,3045
1236,33,11,1,2560
1237,33,11,2,2420
1238,33,12,1,2020
1239,33,12,2,1860
1240,33,13,1,1330
1241,33,13,2,1415
1242,33,14,1,830
1243,33,14,2,920
1244,33,15,1,520
1245,33,15,2,705
1246,33,16,1,255
1247,33,16,2,385
1248,33,17,1,75
1249,33,17,2,155
1250,33,18,1,5
1251,33,18,2,35
1252,33,19,1,0
1253,33,19,2,0
1254,34,1,1,8930
1255,34,1,2,8595
1256,34,2,1,2935
1257,34,2,2,2770
1258,34,3,1,3065
1259,34,3,2,2830
1260,34,4,1,3050
1261,34,4,2,2805
1262,34,5,1,3110
1263,34,5,2,2960
1264,34,6,1,3120
1265,34,6,2,3085
1266,34,7,1,2990
1267,34,7,2,2830
1268,34,8,1,3070
1269,34,8,2,3090
1270,34,9,1,4155
1271,34,9,2,4085
1272,34,10,1,4650
1273,34,10,2,4520
1274,34,11,1,4105
