35085,Pickering--Uxbridge (35085)   00000 (  2.8%),Pickering--Uxbridge,35085,2.8
35086,Renfrew--Nipissing--Pembroke (35086)   00000 (  5.0%),Renfrew--Nipissing--Pembroke,35086,5
35087,Richmond Hill (35087)   00000 (  2.6%),Richmond Hill,35087,2.6
35088,Carleton (35088)   00000 (  2.6%),Carleton,35088,2.6
35089,St. Catharines (35089)   00000 (  4.1%),St. Catharines,35089,4.1
35090,Toronto--St. Paul's (35090)   00000 (  4.8%),Toronto--St. Paul's,35090,4.8
35091,Sarnia--Lambton (35091)   00000 (  3.6%),Sarnia--Lambton,35091,3.6
35092,Sault Ste. Marie (35092)   20000 (  4.5%),Sault Ste. Marie,35092,4.5
35093,Scarborough--Agincourt (35093)   00000 (  3.0%),Scarborough--Agincourt,35093,3
35094,Scarborough Centre / Scarborough-Centre (35094)   00000 (  3.4%),Scarborough Centre / Scarborough-Centre,35094,3.4
35095,Scarborough--Guildwood (35095)   00000 (  3.6%),Scarborough--Guildwood,35095,3.6
35096,Scarborough North / Scarborough-Nord (35096)   00000 (  2.6%),Scarborough North / Scarborough-Nord,35096,2.6
35097,Scarborough--Rouge Park (35097)   00000 (  2.8%),Scarborough--Rouge Park,35097,2.8
35098,Scarborough Southwest / Scarborough-Sud-Ouest (35098)   00000 (  3.9%),Scarborough Southwest / Scarborough-Sud-Ouest,35098,3.9
35099,Simcoe--Grey (35099)   00000 (  4.7%),Simcoe--Grey,35099,4.7
35100,Simcoe North / Simcoe-Nord (35100)   00000 (  4.4%),Simcoe North / Simcoe-Nord,35100,4.4
35101,Spadina--Fort York (35101)   00100 (  5.2%),Spadina--Fort York,35101,5.2
35102,Stormont--Dundas--South Glengarry (35102)   00000 (  4.5%),Stormont--Dundas--South Glengarry,35102,4.5
35103,Sudbury (35103)   00000 (  4.9%),Sudbury,35103,4.9
35104,Thornhill (35104)   00000 (  2.3%),Thornhill,35104,2.3
35105,Thunder Bay--Rainy River (35105)   00000 (  5.2%),Thunder Bay--Rainy River,35105,5.2
35106,Thunder Bay--Superior North / Thunder Bay--Supï¿½rieur-Nord (35106)   00000 (  5.5,Thunder Bay--Superior North / Thunder Bay--Supï¿½rieur-No,35106,5.5
35107,Timmins--James Bay / Timmins--Baie James (35107)   00000 (  5.9%),Timmins--James Bay / Timmins--Baie James,35107,5.9
35108,Toronto Centre / Toronto-Centre (35108)   00100 (  6.9%),Toronto Centre / Toronto-Centre,35108,6.9
35109,Toronto--Danforth (35109)   00000 (  3.7%),Toronto--Danforth,35109,3.7
35110,University--Rosedale (35110)   00100 (  5.8%),University--Rosedale,35110,5.8
35111,Vaughan--Woodbridge (35111)   00000 (  2.3%),Vaughan--Woodbridge,35111,2.3
35112,Waterloo (35112)   00000 (  4.0%),Waterloo,35112,4
35113,Wellington--Halton Hills (35113)   00000 (  3.2%),Wellington--Halton Hills,35113,3.2
35114,Whitby (35114)   00000 (  2.8%),Whitby,35114,2.8
35115,Willowdale (35115)   00000 (  3.6%),Willowdale,35115,3.6
35116,Windsor--Tecumseh (35116)   00000 (  3.2%),Windsor--Tecumseh,35116,3.2
35117,Windsor West / Windsor-Ouest (35117)   00000 (  4.0%),Windsor West / Windsor-Ouest,35117,4
35118,York Centre / York-Centre (35118)   00000 (  3.3%),York Centre / York-Centre,35118,3.3
35119,York--Simcoe (35119)   00000 (  3.3%),York--Simcoe,35119,3.3
35120,York South--Weston / York-Sud--Weston (35120)   00000 (  4.2%),York South--Weston / York-Sud--Weston,35120,4.2
35121,Humber River--Black Creek (35121)   00000 (  3.7%),Humber River--Black Creek,35121,3.7
46,Manitoba (46)   00000 (  4.3%),Manitoba,46,4.3
46001,Brandon--Souris (46001)   00000 (  4.3%),Brandon--Souris,46001,4.3
46002,Charleswood--St. James--Assiniboia--Headingley (46002)   00000 (  3.7%),Charleswood--St. James--Assiniboia--Headingley,46002,3.7
46003,Churchill--Keewatinook Aski (46003)   00100 (  9.7%),Churchill--Keewatinook Aski,46003,9.7
46004,Dauphin--Swan River--Neepawa (46004)   00000 (  5.8%),Dauphin--Swan River--Neepawa,46004,5.8
46005,Elmwood--Transcona (46005)   00000 (  2.9%),Elmwood--Transcona,46005,2.9
46006,Kildonan--St. Paul (46006)   00000 (  2.4%),Kildonan--St. Paul,46006,2.4
46007,Portage--Lisgar (46007)   00000 (  4.3%),Portage--Lisgar,46007,4.3
46008,Provencher (46008)   00000 (  4.0%),Provencher,46008,4
46009,Saint Boniface--Saint Vital / Saint-Boniface--Saint-Vital (46009)   00000 (  3.2%),Saint Boniface--Saint Vital / Saint-Boniface--Saint-Vital,46009,3.2
46010,Selkirk--Interlake--Eastman (46010)   00000 (  5.2%),Selkirk--Interlake--Eastman,46010,5.2
46011,Winnipeg Centre / Winnipeg-Centre (46011)   00000 (  5.3%),Winnipeg Centre / Winnipeg-Centre,46011,5.3
46012,Winnipeg North / Winnipeg-Nord (46012)   00000 (  3.0%),Winnipeg North / Winnipeg-Nord,46012,3
46013,Winnipeg South / Winnipeg-Sud (46013)   00000 (  2.7%),Winnipeg South / Winnipeg-Sud,46013,2.7
46014,Winnipeg South Centre / Winnipeg-Centre-Sud (46014)   00000 (  3.5%),Winnipeg South Centre / Winnipeg-Centre-Sud,46014,3.5
47,Saskatchewan (47)   00000 (  4.8%),Saskatchewan,47,4.8
47001,Battlefords--Lloydminster (47001)   00000 (  4.9%),Battlefords--Lloydminster,47001,4.9
47002,Cypress Hills--Grasslands (47002)   00000 (  5.7%),Cypress Hills--Grasslands,47002,5.7
47003,Desnethï¿½--Missinippi--Churchill River / Desnethï¿½--Missinippi--Riviï¿½re Churchill (47003)   00100 ( ,Desnethï¿½--Missinippi--Churchill River / Desnethï¿½--Missinippi--Riviï¿½re Chu,47003,6.3
47004,Carlton Trail--Eagle Creek /Sentier Carlton--Eagle Creek (47004)   00000 (  4.4%),Carlton Trail--Eagle Creek /Sentier Carlton--Eagle Creek,47004,4.4
47005,Moose Jaw--Lake Centre--Lanigan (47005)   00000 (  5.6%),Moose Jaw--Lake Centre--Lanigan,47005,5.6
47006,Prince Albert (47006)   00000 (  5.6%),Prince Albert,47006,5.6
47007,Regina--Lewvan (47007)   00000 (  3.7%),Regina--Lewvan,47007,3.7
47008,Regina--Qu'Appelle (47008)   00000 (  4.4%),Regina--Qu'Appelle,47008,4.4
47009,Regina--Wascana (47009)   00000 (  4.0%),Regina--Wascana,47009,4
47010,Saskatoon--Grasswood (47010)   00000 (  4.4%),Saskatoon--Grasswood,47010,4.4
47011,Saskatoon--University (47011)   00000 (  3.7%),Saskatoon--University,47011,3.7
47012,Saskatoon West / Saskatoon-Ouest (47012)   00000 (  5.0%),Saskatoon West / Saskatoon-Ouest,47012,5
47013,Souris--Moose Mountain (47013)   00000 (  4.8%),Souris--Moose Mountain,47013,4.8
47014,Yorkton--Melville (47014)   00000 (  4.8%),Yorkton--Melville,47014,4.8
48,Alberta (48)   20000 (  4.7%),Alberta,48,4.7
48001,Banff--Airdrie (48001)   00100 (  5.7%),Banff--Airdrie,48001,5.7
48002,Battle River--Crowfoot (48002)   00000 (  5.3%),Battle River--Crowfoot,48002,5.3
48003,Bow River (48003)   00000 (  4.5%),Bow River,48003,4.5
